"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Jordan","439","Export Diversification Index","total_theil","Value","2.9529088","2.8325572","2.6818442","2.7316709","2.8410628","2.8687532","2.5491564","2.7191036","2.6255553","2.3313529","2.412303","2.7728539","2.4419801","2.5811739","2.5159688","2.6234312","2.6294925","2.5224965","2.402698","2.2860227","2.321408","2.2981887","2.199918","2.3540843",
"Japan","158","Export Diversification Index","total_theil","Value","2.1538031","2.1598496","2.1613021","2.165977","2.1602831","2.1376483","2.1651316","2.191148","2.2213211","2.2450314","2.1915174","2.2390113","2.2362063","2.2059617","2.1908333","2.2017109","2.1995313","2.1759167","2.056644","2.1446154","2.1011004","2.1131971","2.1305478","2.1185722",
"Kazakhstan","916","Export Diversification Index","total_theil","Value","0","3.4733706","2.9259021","3.0797715","2.5361664","2.6389339","2.9332192","3.0515809","3.727442","4.1175752","3.9384956","4.195272","4.0712948","3.942884","4.2088237","4.2193437","4.0914898","4.1521063","4.2253652","4.8334379","4.9987969","4.6011777","4.8800812","4.701282",
"Croatia","960","Export Diversification Index","total_theil","Value","0","1.8490888","1.9728875","2.0605595","1.9489285","1.9157577","1.8794605","1.9533691","1.9196794","2.0012765","1.9168106","1.8432027","1.8420458","1.9620467","1.7860776","1.7498362","1.658186","1.6429061","1.7380068","1.9018968","1.9896849","1.9621999","1.9141409","1.8941067",
"Haiti","263","Export Diversification Index","total_theil","Value","3.3520505","3.5156677","3.5536649","3.4128098","3.6295817","3.8928862","4.1303587","4.3858337","4.7097797","4.8201623","4.7243009","4.7690244","5.0125375","4.996377","5.1917272","5.2156711","5.0934653","4.9112334","5.2370157","5.0339046","5.1061249","5.0683951","5.1017766","5.1245108",
"Hungary","944","Export Diversification Index","total_theil","Value","1.5194414","1.4938504","1.541002","1.5818738","1.6566875","1.6655754","1.8730311","2.0690699","2.2235174","2.257278","2.2056017","2.1551058","2.2043638","2.4126804","2.4187033","2.3253958","2.3157344","2.2724144","2.3212018","2.4826124","2.3318436","2.2261095","2.097055","2.181952",
"Indonesia","536","Export Diversification Index","total_theil","Value","3.0133629","2.8270264","2.6867487","2.5332773","2.3911664","2.3532939","2.296592","2.0039136","2.0504549","2.1483305","2.101846","2.1059122","2.0539455","2.1013608","2.1501405","2.1403127","2.1029499","2.2441132","2.2367613","2.2713535","2.3544011","2.3456161","2.2937205","2.2081659",
"Sierra Leone","724","Export Diversification Index","total_theil","Value","4.5296187","4.511096","4.1855822","4.044311","4.2963724","4.084075","4.4430814","4.2054701","3.4905849","3.553462","2.9108019","2.9162719","3.3348832","3.6187663","3.887574","3.3844287","3.26109","3.1074259","2.7095053","3.6449623","3.5882046","4.1921897","4.912333","4.9625444",
"El Salvador","253","Export Diversification Index","total_theil","Value","3.0454679","2.7804704","2.917999","3.1803937","3.3168044","3.2955718","3.4312711","3.2739384","3.4595428","3.5175178","3.5864146","3.5903883","3.5963786","3.513994","3.4669051","3.2956166","3.070431","2.9939911","3.0542431","3.1288116","3.0419044","3.0141289","2.9952841","3.0770597",
"Somalia","726","Export Diversification Index","total_theil","Value","4.5636845","4.751317","5.0581999","4.109004","4.6970024","4.313364","3.9591701","4.1509118","4.4707665","4.370512","3.3737404","2.9141693","3.0896201","3.8296225","4.073153","3.8197422","3.1390419","3.6381159","4.574687","4.8368516","4.6998286","4.6878638","4.6990891","4.7747793",
